('d�lar', 'n') 0.9999999999999998
('caballeroso', 'n') 0.0
('cabida', 'n') 0.0
('cabildo', 'n') 0.0
('cabina', 'n') 0.0
('cabrera', 'n') 0.0
('cadena', 'n') 0.0
('cairo', 'n') 0.0
('cajero', 'n') 0.0
('calabozo', 'n') 0.0
('caldaria', 'n') 0.0
('caldera', 'n') 0.0
('calificando', 'n') 0.0
('californianas', 'n') 0.0
('callista', 'n') 0.0
('calumnia', 'n') 0.0
('cama', 'n') 0.0
('camacho', 'n') 0.0
('camina', 'n') 0.0
('camioneras', 'n') 0.0
('campa', 'n') 0.0
('campamento', 'n') 0.0
('campa�a', 'n') 0.0
('campesinado', 'n') 0.0
('campo', 'n') 0.0
('canacintra', 'n') 0.0
('canaco', 'n') 0.0
('canad�', 'n') 0.0
('canalizarlos', 'n') 0.0
('cancino', 'n') 0.0
('candado', 'n') 0.0
('candidato', 'n') 0.0
('candidatura', 'n') 0.0
('cano', 'n') 0.0
('cansancio', 'n') 0.0
('cantinflas', 'n') 0.0
('canto', 'n') 0.0
('capacitaci�n', 'n') 0.0
('capitalina', 'n') 0.0
('capitalinas', 'n') 0.0
('capitalinos', 'n') 0.0
('capitalismo', 'n') 0.0
('capricho', 'n') 0.0
('captaci�n', 'n') 0.0
('captado', 'n') 0.0
('captados', 'n') 0.0
('cara', 'n') 0.0
('caranto�a', 'n') 0.0
('cardenismo', 'n') 0.0
('cardenista', 'n') 0.0
('cardiaca', 'n') 0.0
('cardiolog�a', 'n') 0.0
('cardona', 'n') 0.0
('carencia', 'n') 0.0
('caribe', 'n') 0.0
('carne', 'n') 0.0
('carpio', 'n') 0.0
('carranza', 'n') 0.0
('carrera', 'n') 0.0
('carretero', 'n') 0.0
('carso', 'n') 0.0
('car�cter', 'n') 0.0
('casanova', 'n') 0.0
('casilla', 'n') 0.0
('castigo', 'n') 0.0
('castillo', 'n') 0.0
('catastr�ficos', 'n') 0.0
('cato', 'n') 0.0
('catorcena', 'n') 0.0
('cat�logo', 'n') 0.0
('cat�lica', 'n') 0.0
('cat�lico', 'n') 0.0
('caudillesca', 'n') 0.0
('caudillo', 'n') 0.0
('ca�do', 'n') 0.0
('ca�edo', 'n') 0.0
('ca�tica', 'n') 0.0
('celebraci�n', 'n') 0.0
('cena', 'n') 0.0
('ceniza', 'n') 0.0
('censura', 'n') 0.0
('centavo', 'n') 0.0
('centenar', 'n') 0.0
('central', 'n') 0.0
('centroamericana', 'n') 0.0
('cerdo', 'n') 0.0
('ceremonia', 'n') 0.0
('cero', 'n') 0.0
('cerradas', 'n') 0.0
('certidumbre', 'n') 0.0
('certificaci�n', 'n') 0.0
('cfe', 'n') 0.0
('chabacanos', 'n') 0.0
('charros', 'n') 0.0
('cheque', 'n') 0.0
('chiapaneca', 'n') 0.0
('chiapas', 'n') 0.0
('chico', 'n') 0.0
('chicomuselo', 'n') 0.0
('chile', 'n') 0.0
('chino', 'n') 0.0
('chiste', 'n') 0.0
('chivo', 'n') 0.0
('chovinismo', 'n') 0.0
('churubusco', 'n') 0.0
('ch�vez', 'n') 0.0
('ch�quelo', 'n') 0.0
('ciclo', 'n') 0.0
('cima', 'n') 0.0
('cimiento', 'n') 0.0
('cine', 'n') 0.0
('cinematografistas', 'n') 0.0
('cinematogr�fica', 'n') 0.0
('cinescopios', 'n') 0.0
('cintur�n', 'n') 0.0
('circuito', 'n') 0.0
('circulaci�n', 'n') 0.0
('cirug�a', 'n') 0.0
('cita', 'n') 0.0
('citando', 'n') 0.0
('clandestinas', 'n') 0.0
('claroscuro', 'n') 0.0
('clase', 'n') 0.0
('clav�cula', 'n') 0.0
('clemencia', 'n') 0.0
('clero', 'n') 0.0
('cliente', 'n') 0.0
('cna', 'n') 0.0
('colecci�n', 'n') 0.0
('colectivo', 'n') 0.0
('colega', 'n') 0.0
('colegiado', 'n') 0.0
('colegiatura', 'n') 0.0
('colmo', 'n') 0.0
('colocando', 'n') 0.0
('colorido', 'n') 0.0
('colosismo', 'n') 0.0
('colosistas', 'n') 0.0
('columna', 'n') 0.0
('comandado', 'n') 0.0
('comandante', 'n') 0.0
('comando', 'n') 0.0
('combinaci�n', 'n') 0.0
('comenta', 'n') 0.0
('comenzaba', 'n') 0.0
('comercio', 'n') 0.0
('comisionado', 'n') 0.0
('comit�', 'n') 0.0
('compan�as', 'n') 0.0
('compara', 'n') 0.0
('comparado', 'n') 0.0
('comparecencias', 'n') 0.0
('compasi�n', 'n') 0.0
('compatriota', 'n') 0.0
('compleja', 'n') 0.0
('complejidad', 'n') 0.0
('completado', 'n') 0.0
('componente', 'n') 0.0
('comprimido', 'n') 0.0
('comprobados', 'n') 0.0
('comprometidas', 'n') 0.0
('comunicado', 'n') 0.0
('comunicarla', 'n') 0.0
('conasupo', 'n') 0.0
('concepci�n', 'n') 0.0
('concesi�n', 'n') 0.0
('conciencia', 'n') 0.0
('concierto', 'n') 0.0
('conclusi�n', 'n') 0.0
('condena', 'n') 0.0
('condicionamiento', 'n') 0.0
('conducta', 'n') 0.0
('conectada', 'n') 0.0
('conectadas', 'n') 0.0
('confeccionado', 'n') 0.0
('confecci�n', 'n') 0.0
('conferencia', 'n') 0.0
('conflictivo', 'n') 0.0
('confluencia', 'n') 0.0
('confrontado', 'n') 0.0
('confundidos', 'n') 0.0
('confusi�n', 'n') 0.0
('conjuntado', 'n') 0.0
('conquista', 'n') 0.0
('consagrada', 'n') 0.0
('consagrara', 'n') 0.0
('consecuci�n', 'n') 0.0
('consejero', 'n') 0.0
('consenso', 'n') 0.0
('consideraci�n', 'n') 0.0
('considero', 'n') 0.0
('consignados', 'n') 0.0
('conspiraci�n', 'n') 0.0
('construya', 'n') 0.0
('consumidor', 'n') 0.0
('contable', 'n') 0.0
('contaminaci�n', 'n') 0.0
('contempor�nea', 'n') 0.0
('contenido', 'n') 0.0
('contexto', 'n') 0.0
('contienda', 'n') 0.0
('continente', 'n') 0.0
('contingencia', 'n') 0.0
('contradicci�n', 'n') 0.0
('contradictorios', 'n') 0.0
('contrajo', 'n') 0.0
('contrapelo', 'n') 0.0
('contrarrevolucionaria', 'n') 0.0
('contratarlas', 'n') 0.0
('contratiempo', 'n') 0.0
('contrato', 'n') 0.0
('contribuci�n', 'n') 0.0
('contribuyente', 'n') 0.0
('controlados', 'n') 0.0
('controversia', 'n') 0.0
('contundencia', 'n') 0.0
('convenio', 'n') 0.0
('convergencia', 'n') 0.0
('convicci�n', 'n') 0.0
('conviniera', 'n') 0.0
('convivencia', 'n') 0.0
('conviv�a', 'n') 0.0
('convocados', 'n') 0.0
('convocatoria', 'n') 0.0
('cooperativa', 'n') 0.0
('coordinaci�n', 'n') 0.0
('coordinador', 'n') 0.0
('coraz�n', 'n') 0.0
('coreana', 'n') 0.0
('coreano', 'n') 0.0
('corella', 'n') 0.0
('coro', 'n') 0.0
('coronel', 'n') 0.0
('corporativo', 'n') 0.0
('corporativos', 'n') 0.0
('corremos', 'n') 0.0
('correo', 'n') 0.0
('correspondencia', 'n') 0.0
('corro', 'n') 0.0
('corrupci�n', 'n') 0.0
('corruptos', 'n') 0.0
('corte', 'n') 0.0
('corteza', 'n') 0.0
('corzo', 'n') 0.0
('cosecha', 'n') 0.0
('cosmonauta', 'n') 0.0
('costado', 'n') 0.0
('costilla', 'n') 0.0
('costosos', 'n') 0.0
('costumbre', 'n') 0.0
('covarrubias', 'n') 0.0
('coyuntura', 'n') 0.0
('crea', 'n') 0.0
('creaci�n', 'n') 0.0
('creador', 'n') 0.0
('credencial', 'n') 0.0
('credibilidad', 'n') 0.0
('credo', 'n') 0.0
('crema', 'n') 0.0
('cripta', 'n') 0.0
('cristiano', 'n') 0.0
('cristina', 'n') 0.0
('criterio', 'n') 0.0
('cronolog�a', 'n') 0.0
('cruce', 'n') 0.0
('crucificado', 'n') 0.0
('crucificando', 'n') 0.0
('cr�neo', 'n') 0.0
('cr�dulos', 'n') 0.0
('cr�nica', 'n') 0.0
('csu', 'n') 0.0
('cuadro', 'n') 0.0
('cubriendo', 'n') 0.0
('cuello', 'n') 0.0
('cuento', 'n') 0.0
('cuerdo', 'n') 0.0
('cuernavaca', 'n') 0.0
('cuestionamientos', 'n') 0.0
('cueva', 'n') 0.0
('cuidado', 'n') 0.0
('cuidadosos', 'n') 0.0
('culebro', 'n') 0.0
('culpa', 'n') 0.0
('culto', 'n') 0.0
('cultura', 'n') 0.0
('cumpliendo', 'n') 0.0
('cumplimiento', 'n') 0.0
('cuna', 'n') 0.0
('cuota', 'n') 0.0
('cupos', 'n') 0.0
('cup�n', 'n') 0.0
('curso', 'n') 0.0
('curva', 'n') 0.0
('cu�ndo', 'n') 0.0
('c�mara', 'n') 0.0
('c�novas', 'n') 0.0
('c�pita', 'n') 0.0
('c�rcel', 'n') 0.0
('c�rdenas', 'n') 0.0
('c�sar', 'n') 0.0
('c�vicos', 'n') 0.0
('c�pula', 'n') 0.0
('dama', 'n') 0.0
('damatos', 'n') 0.0
('damos', 'n') 0.0
('daniela', 'n') 0.0
('david', 'n') 0.0
('da�oso', 'n') 0.0
('debamos', 'n') 0.0
('debate', 'n') 0.0
('deber', 'n') 0.0
('debidas', 'n') 0.0
('decesos', 'n') 0.0
('decorado', 'n') 0.0
('decretado', 'n') 0.0
('dedo', 'n') 0.0
('defectuoso', 'n') 0.0
('defenderlo', 'n') 0.0
('defensa', 'n') 0.0
('deficiencia', 'n') 0.0
('degradaci�n', 'n') 0.0
('delegaci�n', 'n') 0.0
('delegado', 'n') 0.0
('delgado', 'n') 0.0
('delia', 'n') 0.0
('delicado', 'n') 0.0
('delictuosa', 'n') 0.0
('delictuoso', 'n') 0.0
('delineadas', 'n') 0.0
('delito', 'n') 0.0
('della', 'n') 0.0
('demandaba', 'n') 0.0
('democratizaci�n', 'n') 0.0
('democr�tica', 'n') 0.0
('democr�tico', 'n') 0.0
('demogr�fico', 'n') 0.0
('demoledora', 'n') 0.0
('departamento', 'n') 0.0
('dependemos', 'n') 0.0
('deportista', 'n') 0.0
('depositadas', 'n') 0.0
('deprimidos', 'n') 0.0
('derecha', 'n') 0.0
('derivado', 'n') 0.0
('derrama', 'n') 0.0
('derrumbaba', 'n') 0.0
('desacuerdo', 'n') 0.0
('desaf�o', 'n') 0.0
('desaliento', 'n') 0.0
('desalojo', 'n') 0.0
('desalojos', 'n') 0.0
('desarticulado', 'n') 0.0
('desatino', 'n') 0.0
('descompostura', 'n') 0.0
('desconfianza', 'n') 0.0
('desconocimiento', 'n') 0.0
('descontados', 'n') 0.0
('descontamos', 'n') 0.0
('descubr�amos', 'n') 0.0
('descuento', 'n') 0.0
('deseamos', 'n') 0.0
('desembarcado', 'n') 0.0
('desembolso', 'n') 0.0
('desempleados', 'n') 0.0
('desesperaci�n', 'n') 0.0
('desfile', 'n') 0.0
('desincorporados', 'n') 0.0
('desmitifica', 'n') 0.0
('desnacionalizados', 'n') 0.0
('desnutridos', 'n') 0.0
('despanzurra', 'n') 0.0
('despegue', 'n') 0.0
('desperdicia', 'n') 0.0
('desperdicio', 'n') 0.0
('despertarnos', 'n') 0.0
('despliegue', 'n') 0.0
('desprop�sito', 'n') 0.0
('desprotegidas', 'n') 0.0
('destacada', 'n') 0.0
('destierro', 'n') 0.0
('destinados', 'n') 0.0
('destruirla', 'n') 0.0
('desventaja', 'n') 0.0
('desventurados', 'n') 0.0
('desviados', 'n') 0.0
('detenci�n', 'n') 0.0
('detenernos', 'n') 0.0
('detenimiento', 'n') 0.0
('deterioro', 'n') 0.0
('detrimento', 'n') 0.0
('devaluatoria', 'n') 0.0
('diablo', 'n') 0.0
('diario', 'n') 0.0
('diccionario', 'n') 0.0
('dicha', 'n') 0.0
('dicho', 'n') 0.0
('diconsa', 'n') 0.0
('dictador', 'n') 0.0
('dictadura', 'n') 0.0
('dieta', 'n') 0.0
('dietoterapeuta', 'n') 0.0
('diferenciadora', 'n') 0.0
('diferendo', 'n') 0.0
('diferida', 'n') 0.0
('dignidad', 'n') 0.0
('dilucidando', 'n') 0.0
('dimensi�n', 'n') 0.0
('din�mica', 'n') 0.0
('dios', 'n') 0.0
('diplomado', 'n') 0.0
('directiva', 'n') 0.0
('directivas', 'n') 0.0
('directivo', 'n') 0.0
('dirijo', 'n') 0.0
('disco', 'n') 0.0
('discriminaci�n', 'n') 0.0
('discurso', 'n') 0.0
('discusi�n', 'n') 0.0
('disc�pulo', 'n') 0.0
('diseminados', 'n') 0.0
('disgregado', 'n') 0.0
('disimulada', 'n') 0.0
('disponiendo', 'n') 0.0
('disposici�n', 'n') 0.0
('distanciamiento', 'n') 0.0
('diversidad', 'n') 0.0
('diversi�n', 'n') 0.0
('dividirlas', 'n') 0.0
('dividirlos', 'n') 0.0
('divisi�n', 'n') 0.0
('dobla', 'n') 0.0
('doctora', 'n') 0.0
('doctorado', 'n') 0.0
('doctrina', 'n') 0.0
('documentados', 'n') 0.0
('dogma', 'n') 0.0
('dolor', 'n') 0.0
('dolorosa', 'n') 0.0
('domingo', 'n') 0.0
('don', 'n') 0.0
('donaldo', 'n') 0.0
('donato', 'n') 0.0
('dotaci�n', 'n') 0.0
('dotarlo', 'n') 0.0
('do�a', 'n') 0.0
('dr�stico', 'n') 0.0
('dtura', 'n') 0.0
('dudosa', 'n') 0.0
('duranpa', 'n') 0.0
('d�az', 'n') 0.0
('echamos', 'n') 0.0
('eco', 'n') 0.0
('ecologista', 'n') 0.0
('ecol�gico', 'n') 0.0
('econom�tricos', 'n') 0.0
('econ�mica', 'n') 0.0
('econ�mico', 'n') 0.0
('econ�micofinancieros', 'n') 0.0
('econ�micos', 'n') 0.0
('edad', 'n') 0.0
('edificio', 'n') 0.0
('editorial', 'n') 0.0
('edo', 'n') 0.0
('educarlos', 'n') 0.0
('efectivas', 'n') 0.0
('efectuada', 'n') 0.0
('eficiencia', 'n') 0.0
('eje', 'n') 0.0
('ejecuci�n', 'n') 0.0
('ejercicio', 'n') 0.0
('ejido', 'n') 0.0
('electrocardiograma', 'n') 0.0
('electromec�nica', 'n') 0.0
('electr�nicos', 'n') 0.0
('elegido', 'n') 0.0
('eleg�a', 'n') 0.0
('elizondo', 'n') 0.0
('elogio', 'n') 0.0
('embajador', 'n') 0.0
('embrollo', 'n') 0.0
('emigraci�n', 'n') 0.0
('emigrando', 'n') 0.0
('emiliano', 'n') 0.0
('emilio', 'n') 0.0
('emotivo', 'n') 0.0
('empate', 'n') 0.0
('empero', 'n') 0.0
('encabezados', 'n') 0.0
('enciso', 'n') 0.0
('encono', 'n') 0.0
('encriptada', 'n') 0.0
('encumbrado', 'n') 0.0
('endeudamiento', 'n') 0.0
('enemigo', 'n') 0.0
('enero', 'n') 0.0
('enfermera', 'n') 0.0
('enfermo', 'n') 0.0
('enfoque', 'n') 0.0
('enfrentada', 'n') 0.0
('enfriamiento', 'n') 0.0
('enga�o', 'n') 0.0
('enjabonada', 'n') 0.0
('enlazados', 'n') 0.0
('enmarca', 'n') 0.0
('enmedio', 'n') 0.0
('enojo', 'n') 0.0
('ensayo', 'n') 0.0
('ense�anza', 'n') 0.0
('entidad', 'n') 0.0
('entorno', 'n') 0.0
('entorpecido', 'n') 0.0
('entra�a', 'n') 0.0
('entredicho', 'n') 0.0
('entrega', 'n') 0.0
('entregando', 'n') 0.0
('entregarnos', 'n') 0.0
('entretenimiento', 'n') 0.0
('entrevista', 'n') 0.0
('entrevistados', 'n') 0.0
('envenenado', 'n') 0.0
('enviamos', 'n') 0.0
('envuelto', 'n') 0.0
('env�o', 'n') 0.0
('equilibrio', 'n') 0.0
('eraclio', 'n') 0.0
('ergo', 'n') 0.0
('eromero', 'n') 0.0
('errad�simo', 'n') 0.0
('error', 'n') 0.0
('err�ticos', 'n') 0.0
('escalada', 'n') 0.0
('escatolog�a', 'n') 0.0
('escena', 'n') 0.0
('escler�tica', 'n') 0.0
('escolarizaci�n', 'n') 0.0
('escolta', 'n') 0.0
('escribano', 'n') 0.0
('escrito', 'n') 0.0
('escritor', 'n') 0.0
('escuela', 'n') 0.0
('esc�ndalo', 'n') 0.0
('esot�rico', 'n') 0.0
('especie', 'n') 0.0
('especifica', 'n') 0.0
('especificas', 'n') 0.0
('especulaci�n', 'n') 0.0
('espejo', 'n') 0.0
('espero', 'n') 0.0
('espinosa', 'n') 0.0
('espinoso', 'n') 0.0
('esposo', 'n') 0.0
('esqueleto', 'n') 0.0
('estaci�n', 'n') 0.0
('estallado', 'n') 0.0
('estampa', 'n') 0.0
('estampida', 'n') 0.0
('estimado', 'n') 0.0
('estimara', 'n') 0.0
('estratosf�rica', 'n') 0.0
('estratosf�ricas', 'n') 0.0
('estrat�gica', 'n') 0.0
('estrella', 'n') 0.0
('estructura', 'n') 0.0
('estudiante', 'n') 0.0
('estupendo', 'n') 0.0
('est�mulo', 'n') 0.0
('etelvina', 'n') 0.0
('eternizados', 'n') 0.0
('europea', 'n') 0.0
('evangelina', 'n') 0.0
('evangelio', 'n') 0.0
('evento', 'n') 0.0
('evitara', 'n') 0.0
('evoluciona', 'n') 0.0
('examen', 'n') 0.0
('exasperado', 'n') 0.0
('excedido', 'n') 0.0
('excelencia', 'n') 0.0
('exclusi�n', 'n') 0.0
('exhaustivas', 'n') 0.0
('exigencia', 'n') 0.0
('existencia', 'n') 0.0
('exodo', 'n') 0.0
('experto', 'n') 0.0
('explicaci�n', 'n') 0.0
('explosivo', 'n') 0.0
('exponerlas', 'n') 0.0
('exportador', 'n') 0.0
('exportadora', 'n') 0.0
('expresa', 'n') 0.0
('expresara', 'n') 0.0
('expresarnos', 'n') 0.0
('expresi�n', 'n') 0.0
('expuso', 'n') 0.0
('extensa', 'n') 0.0
('extensi�n', 'n') 0.0
('extienda', 'n') 0.0
('extradici�n', 'n') 0.0
('extraditado', 'n') 0.0
('extremista', 'n') 0.0
('fabio', 'n') 0.0
('fabricante', 'n') 0.0
('facultados', 'n') 0.0
('falla', 'n') 0.0
('fallo', 'n') 0.0
('famiglia', 'n') 0.0
('fan�tico', 'n') 0.0
('faris�ico', 'n') 0.0
('fascios', 'n') 0.0
('fascista', 'n') 0.0
('fat�dica', 'n') 0.0
('favor', 'n') 0.0
('favorezca', 'n') 0.0
('fax', 'n') 0.0
('febrero', 'n') 0.0
('fechor�as', 'n') 0.0
('fecundo', 'n') 0.0
('federaci�n', 'n') 0.0
('federalismo', 'n') 0.0
('federico', 'n') 0.0
('felipe', 'n') 0.0
('feria', 'n') 0.0
('fernando', 'n') 0.0
('ferro', 'n') 0.0
('ferrocarrileros', 'n') 0.0
('festivo', 'n') 0.0
('fianza', 'n') 0.0
('ficci�n', 'n') 0.0
('fideicomisos', 'n') 0.0
('fiel', 'n') 0.0
('fila', 'n') 0.0
('fil�sofo', 'n') 0.0
('financiamiento', 'n') 0.0
('finca', 'n') 0.0
('finito', 'n') 0.0
('firma', 'n') 0.0
('fiscal', 'n') 0.0
('flaco', 'n') 0.0
('florentino', 'n') 0.0
('florida', 'n') 0.0
('fomenta', 'n') 0.0
('forja', 'n') 0.0
('formaci�n', 'n') 0.0
('formato', 'n') 0.0
('fortalecimiento', 'n') 0.0
('fortuna', 'n') 0.0
('forzado', 'n') 0.0
('foto', 'n') 0.0
('fot�grafo', 'n') 0.0
('fraccionamiento', 'n') 0.0
('fracci�n', 'n') 0.0
('fractura', 'n') 0.0
('fragilidad', 'n') 0.0
('franco', 'n') 0.0
('frase', 'n') 0.0
('fraterno', 'n') 0.0
('frecuencia', 'n') 0.0
('frena', 'n') 0.0
('frenazo', 'n') 0.0
('freno', 'n') 0.0
('fren�tico', 'n') 0.0
('fresca', 'n') 0.0
('fruct�fera', 'n') 0.0
('fruto', 'n') 0.0
('fr�a', 'n') 0.0
('fulano', 'n') 0.0
('fulgor', 'n') 0.0
('fundaci�n', 'n') 0.0
('fundamentados', 'n') 0.0
('fundamnetados', 'n') 0.0
('fundo', 'n') 0.0
('funeraria', 'n') 0.0
('funesta', 'n') 0.0
('fusilado', 'n') 0.0
('f�bregas', 'n') 0.0
('f�brica', 'n') 0.0
('f�sica', 'n') 0.0
('gafas', 'n') 0.0
('gagia', 'n') 0.0
('galer�a', 'n') 0.0
('gallarda', 'n') 0.0
('galv�n', 'n') 0.0
('gana', 'n') 0.0
('ganadero', 'n') 0.0
('ganador', 'n') 0.0
('garantizar�a', 'n') 0.0
('garc�a', 'n') 0.0
('gardu�o', 'n') 0.0
('garruda', 'n') 0.0
('gaseosa', 'n') 0.0
('gastando', 'n') 0.0
('gasto', 'n') 0.0
('gastronom�a', 'n') 0.0
('gastronom�as', 'n') 0.0
('gast�rtelo', 'n') 0.0
('gaucho', 'n') 0.0
('gelatina', 'n') 0.0
('generados', 'n') 0.0
('genio', 'n') 0.0
('gerardo', 'n') 0.0
('gerencia', 'n') 0.0
('gesti�n', 'n') 0.0
('gigantesca', 'n') 0.0
('gira', 'n') 0.0
('giradas', 'n') 0.0
('giro', 'n') 0.0
('givaldo', 'n') 0.0
('globalizaci�n', 'n') 0.0
('gloria', 'n') 0.0
('gobernabilidad', 'n') 0.0
('gobernante', 'n') 0.0
('golpeado', 'n') 0.0
('golpista', 'n') 0.0
('gordillo', 'n') 0.0
('grabadora', 'n') 0.0
('gracia', 'n') 0.0
('grandeza', 'n') 0.0
('grandiosa', 'n') 0.0
('grano', 'n') 0.0
('grata', 'n') 0.0
('gravedad', 'n') 0.0
('grieta', 'n') 0.0
('grito', 'n') 0.0
('gro', 'n') 0.0
('grpo', 'n') 0.0
('gr�fico', 'n') 0.0
('gr�a', 'n') 0.0
('guaruras', 'n') 0.0
('guatemala', 'n') 0.0
('guatemalteca', 'n') 0.0
('guatemalteco', 'n') 0.0
('guayaba', 'n') 0.0
('gubernatura', 'n') 0.0
('guerra', 'n') 0.0
('guerrero', 'n') 0.0
('guerrilla', 'n') 0.0
('guervara', 'n') 0.0
('gustavo', 'n') 0.0
('gusto', 'n') 0.0
('guti�rrez', 'n') 0.0
('gu�a', 'n') 0.0
('g�nero', 'n') 0.0
('g�mez', 'n') 0.0
('habitadas', 'n') 0.0
('habitante', 'n') 0.0
('hablemos', 'n') 0.0
('hacemos', 'n') 0.0
('hacienda', 'n') 0.0
('haga', 'n') 0.0
('hagamos', 'n') 0.0
('hambrientos', 'n') 0.0
('hast�o', 'n') 0.0
('haza�a', 'n') 0.0
('heberto', 'n') 0.0
('helic�pteros', 'n') 0.0
('hemisferio', 'n') 0.0
('heredero', 'n') 0.0
('herido', 'n') 0.0
('hermana', 'n') 0.0
('hermanita', 'n') 0.0
('herminio', 'n') 0.0
('hern�ndez', 'n') 0.0
('hgo', 'n') 0.0
('hidalgo', 'n') 0.0
('hidr�ulico', 'n') 0.0
('hielo', 'n') 0.0
('hierro', 'n') 0.0
('higinio', 'n') 0.0
('hilaridad', 'n') 0.0
('hipoteca', 'n') 0.0
('hip�tesis', 'n') 0.0
('hirviendo', 'n') 0.0
('historia', 'n') 0.0
('histri�nico', 'n') 0.0
('hogar', 'n') 0.0
('holganza', 'n') 0.0
('hollywood', 'n') 0.0
('homenaje', 'n') 0.0
('homicidio', 'n') 0.0
('horizonte', 'n') 0.0
('horno', 'n') 0.0
('hospital', 'n') 0.0
('hotel', 'n') 0.0
('huasteca', 'n') 0.0
('hueco', 'n') 0.0
('huejotzingo', 'n') 0.0
('huelguista', 'n') 0.0
('huella', 'n') 0.0
('huerta', 'n') 0.0
('hueso', 'n') 0.0
('huida', 'n') 0.0
('humanismo', 'n') 0.0
('humano', 'n') 0.0
('human�sticas', 'n') 0.0
('humillaci�n', 'n') 0.0
('hundirnos', 'n') 0.0
('h�ctor', 'n') 0.0
('iberoamericana', 'n') 0.0
('iconos', 'n') 0.0
('ideal', 'n') 0.0
('identificadas', 'n') 0.0
('identificando', 'n') 0.0
('iglesia', 'n') 0.0
('ignominia', 'n') 0.0
('ignorancia', 'n') 0.0
('ilustrando', 'n') 0.0
('imagen', 'n') 0.0
('impacto', 'n') 0.0
('impedido', 'n') 0.0
('imperio', 'n') 0.0
('impoluta', 'n') 0.0
('importadora', 'n') 0.0
('importe', 'n') 0.0
('imposibilidad', 'n') 0.0
('impotencia', 'n') 0.0
('impresi�n', 'n') 0.0
('imprevisto', 'n') 0.0
('impulsa', 'n') 0.0
('impulsados', 'n') 0.0
('impulso', 'n') 0.0
('inaugura', 'n') 0.0
('incendiaria', 'n') 0.0
('incertidumbre', 'n') 0.0
('incinerada', 'n') 0.0
('inclina', 'n') 0.0
('indagaci�n', 'n') 0.0
('indagatorias', 'n') 0.0
('indebidos', 'n') 0.0
('independencia', 'n') 0.0
('independientedemocr�tico', 'n') 0.0
('indicador', 'n') 0.0
('indio', 'n') 0.0
('individuillos', 'n') 0.0
('individuo', 'n') 0.0
('ind�gena', 'n') 0.0
('ineficiencias', 'n') 0.0
('inepto', 'n') 0.0
('inflacionaria', 'n') 0.0
('inflacionarias', 'n') 0.0
('informativo', 'n') 0.0
('ingenier�a', 'n') 0.0
('ingl�s', 'n') 0.0
('ingrediente', 'n') 0.0
('inhumana', 'n') 0.0
('inicia', 'n') 0.0
('iniciados', 'n') 0.0
('iniciativa', 'n') 0.0
('inicio', 'n') 0.0
('injusticia', 'n') 0.0
('injustificado', 'n') 0.0
('inmigraci�n', 'n') 0.0
('inmigrantes', 'n') 0.0
('inminencia', 'n') 0.0
('inmobiliaria', 'n') 0.0
('innecesario', 'n') 0.0
('innecesarios', 'n') 0.0
('inocencia', 'n') 0.0
('inodados', 'n') 0.0
('inscritas', 'n') 0.0
('inseguridad', 'n') 0.0
('insolvencias', 'n') 0.0
('instaladas', 'n') 0.0
('instante', 'n') 0.0
('instant�nea', 'n') 0.0
('instinto', 'n') 0.0
('insulto', 'n') 0.0
('insurrecci�n', 'n') 0.0
('ins�lito', 'n') 0.0
('ins�litos', 'n') 0.0
('integraci�n', 'n') 0.0
('integrante', 'n') 0.0
('integridad', 'n') 0.0
('inteligencia', 'n') 0.0
('intensifica', 'n') 0.0
('intenso', 'n') 0.0
('intento', 'n') 0.0
('interactivo', 'n') 0.0
('intercambio', 'n') 0.0
('intermediario', 'n') 0.0
('interna', 'n') 0.0
('internado', 'n') 0.0
('interpuso', 'n') 0.0
('interrogado', 'n') 0.0
('intervenci�n', 'n') 0.0
('intuici�n', 'n') 0.0
('investidura', 'n') 0.0
('investigador', 'n') 0.0
('investigados', 'n') 0.0
('invitaci�n', 'n') 0.0
('involucra', 'n') 0.0
('inyecci�n', 'n') 0.0
('ipso', 'n') 0.0
('irrisorio', 'n') 0.0
('irritaci�n', 'n') 0.0
('israel', 'n') 0.0
('italiana', 'n') 0.0
('ixtapa', 'n') 0.0
('iztapalapa', 'n') 0.0
('jab�n', 'n') 0.0
('jaime', 'n') 0.0
('jalisco', 'n') 0.0
('jap�n', 'n') 0.0
('jarocho', 'n') 0.0
('jauja', 'n') 0.0
('javier', 'n') 0.0
('jefe', 'n') 0.0
('jerarqu�a', 'n') 0.0
('jim�nez', 'n') 0.0
('john', 'n') 0.0
('jorge', 'n') 0.0
('jornalero', 'n') 0.0
('joven', 'n') 0.0
('juan', 'n') 0.0
('jud�a', 'n') 0.0
('jueces', 'n') 0.0
('juego', 'n') 0.0
('julio', 'n') 0.0
('junta', 'n') 0.0
('juntillas', 'n') 0.0
('jurado', 'n') 0.0
('jurista', 'n') 0.0
('jur�dica', 'n') 0.0
('jur�dicapolitol�gica', 'n') 0.0
('jur�dicas', 'n') 0.0
('juzgado', 'n') 0.0
('kennedy', 'n') 0.0
('kil�metro', 'n') 0.0
('kino', 'n') 0.0
('labastida', 'n') 0.0
('labio', 'n') 0.0
('labor', 'n') 0.0
('laboratorio', 'n') 0.0
('lado', 'n') 0.0
('lagunilla', 'n') 0.0
('lance', 'n') 0.0
('lapso', 'n') 0.0
('lastimoso', 'n') 0.0
