[('interés', 'n'), 50] 16.578787320066404
[('dependemos', 'n'), 2] 8.168663580198341
[('párroco', 'n'), 2] 8.168663580198341
[('fortalecimiento', 'n'), 2] 8.168663580198341
[('conjunto', 'n'), 2] 8.168663580198341
[('cronología', 'n'), 2] 8.168663580198341
[('auditorias', 'n'), 2] 8.168663580198341
[('razonamiento', 'n'), 2] 8.168663580198341
[('insumo', 'n'), 2] 8.168663580198341
[('cardiología', 'n'), 2] 8.168663580198341
[('doctorado', 'n'), 2] 8.168663580198341
[('alejandro', 'n'), 2] 8.168663580198341
[('decesos', 'n'), 2] 8.168663580198341
[('marea', 'n'), 2] 8.168663580198341
[('amiga', 'n'), 2] 8.168663580198341
[('intervención', 'n'), 2] 8.168663580198341
[('unocero', 'n'), 2] 8.168663580198341
[('fantasía', 'n'), 2] 8.168663580198341
[('violación', 'n'), 2] 8.168663580198341
[('sobradas', 'n'), 2] 8.168663580198341
[('entrevista', 'n'), 2] 8.168663580198341
[('méxicoquerétaro', 'n'), 2] 8.168663580198341
[('rutina', 'n'), 2] 8.168663580198341
[('tarifa', 'n'), 2] 8.168663580198341
[('calor', 'n'), 2] 8.168663580198341
[('fiel', 'n'), 2] 8.168663580198341
[('recinto', 'n'), 2] 8.168663580198341
[('dependencia', 'n'), 2] 8.168663580198341
[('armando', 'n'), 2] 8.168663580198341
[('vacacionistas', 'n'), 2] 8.168663580198341
[('comité', 'n'), 2] 8.168663580198341
[('afán', 'n'), 2] 8.168663580198341
[('taurinas', 'n'), 2] 8.168663580198341
[('dignidad', 'n'), 2] 8.168663580198341
[('fotografía', 'n'), 2] 8.168663580198341
[('nodos', 'n'), 2] 8.168663580198341
[('oposición', 'n'), 2] 8.168663580198341
[('desequilibrio', 'n'), 2] 8.168663580198341
[('individuo', 'n'), 2] 8.168663580198341
[('herminio', 'n'), 2] 8.168663580198341
[('apostados', 'n'), 2] 8.168663580198341
[('transmisión', 'n'), 2] 8.168663580198341
[('podría', 'n'), 2] 8.168663580198341
[('invasor', 'n'), 2] 8.168663580198341
[('basta', 'n'), 2] 8.168663580198341
[('apoderado', 'n'), 2] 8.168663580198341
[('hotel', 'n'), 2] 8.168663580198341
[('subempleo', 'n'), 2] 8.168663580198341
[('misa', 'n'), 2] 8.168663580198341
[('juzgado', 'n'), 2] 8.168663580198341
[('inactivas', 'n'), 2] 8.168663580198341
[('quehacer', 'n'), 2] 8.168663580198341
[('ofensa', 'n'), 2] 8.168663580198341
[('emisión', 'n'), 2] 8.168663580198341
[('instrumentado', 'n'), 2] 8.168663580198341
[('lejana', 'n'), 2] 8.168663580198341
[('pantalla', 'n'), 2] 8.168663580198341
[('homilía', 'n'), 2] 8.168663580198341
[('niña', 'n'), 2] 8.168663580198341
[('nuevo', 'n'), 2] 8.168663580198341
[('redocumentado', 'n'), 2] 8.168663580198341
[('telecomunicación', 'n'), 2] 8.168663580198341
[('selección', 'n'), 2] 8.168663580198341
[('restaurantero', 'n'), 2] 8.168663580198341
[('contingencia', 'n'), 2] 8.168663580198341
[('descubrimiento', 'n'), 2] 8.168663580198341
[('palo', 'n'), 2] 8.168663580198341
[('romero', 'n'), 2] 8.168663580198341
[('cárcel', 'n'), 2] 8.168663580198341
[('loma', 'n'), 2] 8.168663580198341
[('aspiración', 'n'), 2] 8.168663580198341
[('discurso', 'n'), 2] 8.168663580198341
[('inteligencia', 'n'), 2] 8.168663580198341
[('ociosa', 'n'), 2] 8.168663580198341
[('jueces', 'n'), 2] 8.168663580198341
[('reestructura', 'n'), 2] 8.168663580198341
[('maquiladoras', 'n'), 2] 8.168663580198341
[('gestión', 'n'), 2] 8.168663580198341
[('bando', 'n'), 2] 8.168663580198341
[('ruso', 'n'), 2] 8.168663580198341
[('valenzuela', 'n'), 2] 8.168663580198341
[('delgado', 'n'), 2] 8.168663580198341
[('reportero', 'n'), 2] 8.168663580198341
[('expresarnos', 'n'), 2] 8.168663580198341
[('televisor', 'n'), 2] 8.168663580198341
[('hinojosa', 'n'), 2] 8.168663580198341
[('extradición', 'n'), 2] 8.168663580198341
[('entorpecido', 'n'), 2] 8.168663580198341
[('galería', 'n'), 2] 8.168663580198341
[('palacio', 'n'), 2] 8.168663580198341
[('precepto', 'n'), 2] 8.168663580198341
[('docto', 'n'), 2] 8.168663580198341
[('descuento', 'n'), 2] 8.168663580198341
[('copia', 'n'), 2] 8.168663580198341
[('asambleístas', 'n'), 2] 8.168663580198341
[('laudo', 'n'), 2] 8.168663580198341
[('aterrizaje', 'n'), 2] 8.168663580198341
[('impresión', 'n'), 2] 8.168663580198341
[('democratizadora', 'n'), 2] 8.168663580198341
[('reynosa', 'n'), 2] 8.168663580198341
[('mito', 'n'), 2] 8.168663580198341
[('fascista', 'n'), 2] 8.168663580198341
[('ferrocarrileros', 'n'), 2] 8.168663580198341
[('infraestructura', 'n'), 2] 8.168663580198341
[('componente', 'n'), 2] 8.168663580198341
[('padecido', 'n'), 2] 8.168663580198341
[('nombramiento', 'n'), 2] 8.168663580198341
[('alvarado', 'n'), 2] 8.168663580198341
[('médico', 'n'), 2] 8.168663580198341
[('caballero', 'n'), 2] 8.168663580198341
[('rosario', 'n'), 2] 8.168663580198341
[('utópica', 'n'), 2] 8.168663580198341
[('guerrilla', 'n'), 2] 8.168663580198341
[('comandante', 'n'), 2] 8.168663580198341
[('viento', 'n'), 2] 8.168663580198341
[('sepa', 'n'), 2] 8.168663580198341
[('rubros', 'n'), 2] 8.168663580198341
[('helicópteros', 'n'), 2] 8.168663580198341
[('acento', 'n'), 2] 8.168663580198341
[('ulloa', 'n'), 2] 8.168663580198341
[('criterio', 'n'), 2] 8.168663580198341
[('asambleísta', 'n'), 2] 8.168663580198341
[('pasajero', 'n'), 2] 8.168663580198341
[('minúscula', 'n'), 2] 8.168663580198341
[('requerimiento', 'n'), 2] 8.168663580198341
[('proteja', 'n'), 2] 8.168663580198341
[('villa', 'n'), 2] 8.168663580198341
[('robledo', 'n'), 2] 8.168663580198341
[('ánimo', 'n'), 2] 8.168663580198341
[('enlaza', 'n'), 2] 8.168663580198341
[('formato', 'n'), 2] 8.168663580198341
[('desempeño', 'n'), 2] 8.168663580198341
[('madrazo', 'n'), 2] 8.168663580198341
[('fila', 'n'), 2] 8.168663580198341
[('suspensión', 'n'), 2] 8.168663580198341
[('corporativas', 'n'), 2] 8.168663580198341
[('teoría', 'n'), 2] 8.168663580198341
[('levantamiento', 'n'), 2] 8.168663580198341
[('bordo', 'n'), 2] 8.168663580198341
[('estabilización', 'n'), 2] 8.168663580198341
[('fuego', 'n'), 2] 8.168663580198341
[('activa', 'n'), 2] 8.168663580198341
[('soldado', 'n'), 2] 8.168663580198341
[('conciencia', 'n'), 2] 8.168663580198341
[('ceremonia', 'n'), 2] 8.168663580198341
[('defenderlo', 'n'), 2] 8.168663580198341
[('hirviendo', 'n'), 2] 8.168663580198341
[('lactosa', 'n'), 2] 8.168663580198341
[('reflexión', 'n'), 2] 8.168663580198341
[('recogerla', 'n'), 2] 8.168663580198341
[('porra', 'n'), 2] 8.168663580198341
[('involucra', 'n'), 2] 8.168663580198341
[('diversión', 'n'), 2] 8.168663580198341
[('carne', 'n'), 2] 8.168663580198341
[('independencia', 'n'), 2] 8.168663580198341
[('embate', 'n'), 2] 8.168663580198341
[('zócalo', 'n'), 2] 8.168663580198341
[('padierna', 'n'), 2] 8.168663580198341
[('apego', 'n'), 2] 8.168663580198341
[('mas', 'n'), 2] 8.168663580198341
[('comenta', 'n'), 2] 8.168663580198341
[('legislativo', 'n'), 2] 8.168663580198341
[('patricio', 'n'), 2] 8.168663580198341
[('circulación', 'n'), 2] 8.168663580198341
[('identificación', 'n'), 2] 8.168663580198341
[('peña', 'n'), 2] 8.168663580198341
[('doctrina', 'n'), 2] 8.168663580198341
[('participativo', 'n'), 2] 8.168663580198341
[('convicción', 'n'), 2] 8.168663580198341
[('metro', 'n'), 2] 8.168663580198341
[('compatriota', 'n'), 2] 8.168663580198341
[('ascenso', 'n'), 2] 8.168663580198341
[('tizayuca', 'n'), 2] 8.168663580198341
[('acontecimiento', 'n'), 2] 8.168663580198341
[('rechazo', 'n'), 2] 8.168663580198341
[('segundo', 'n'), 2] 8.168663580198341
[('columna', 'n'), 2] 8.168663580198341
[('contable', 'n'), 2] 8.168663580198341
[('encarecimiento', 'n'), 2] 8.168663580198341
[('ceniza', 'n'), 2] 8.168663580198341
[('cristina', 'n'), 2] 8.168663580198341
[('exceso', 'n'), 2] 8.168663580198341
[('cinturón', 'n'), 2] 8.168663580198341
[('íntegro', 'n'), 2] 8.168663580198341
[('estrato', 'n'), 2] 8.168663580198341
[('actor', 'n'), 2] 8.168663580198341
[('resolución', 'n'), 2] 8.168663580198341
[('finqueros', 'n'), 2] 8.168663580198341
[('incertidumbre', 'n'), 2] 8.168663580198341
[('impida', 'n'), 2] 8.168663580198341
[('drástico', 'n'), 2] 8.168663580198341
[('israel', 'n'), 2] 8.168663580198341
[('cerradas', 'n'), 2] 8.168663580198341
[('bendición', 'n'), 2] 8.168663580198341
[('pichucalco', 'n'), 2] 8.168663580198341
[('revolucionario', 'n'), 2] 8.168663580198341
[('pagados', 'n'), 2] 8.168663580198341
[('católica', 'n'), 2] 8.168663580198341
[('impedido', 'n'), 2] 8.168663580198341
[('sede', 'n'), 2] 8.168663580198341
[('dificultad', 'n'), 2] 8.168663580198341
[('invadidas', 'n'), 2] 8.168663580198341
[('residentes', 'n'), 2] 8.168663580198341
[('pecado', 'n'), 2] 8.168663580198341
[('francia', 'n'), 2] 8.168663580198341
[('laboratorio', 'n'), 2] 8.168663580198341
[('raúl', 'n'), 2] 8.168663580198341
[('favor', 'n'), 2] 8.168663580198341
[('dobla', 'n'), 1] 5.634305913580881
[('pareja', 'n'), 1] 5.634305913580881
[('preso', 'n'), 1] 5.634305913580881
[('vínculo', 'n'), 1] 5.634305913580881
[('patriótica', 'n'), 1] 5.634305913580881
[('facto', 'n'), 1] 5.634305913580881
[('priva', 'n'), 1] 5.634305913580881
[('tostada', 'n'), 1] 5.634305913580881
[('arroyo', 'n'), 1] 5.634305913580881
[('bandido', 'n'), 1] 5.634305913580881
[('auditorio', 'n'), 1] 5.634305913580881
[('correduría', 'n'), 1] 5.634305913580881
[('personaje', 'n'), 1] 5.634305913580881
[('síndrome', 'n'), 1] 5.634305913580881
[('cita', 'n'), 1] 5.634305913580881
[('sumada', 'n'), 1] 5.634305913580881
[('rubro', 'n'), 1] 5.634305913580881
[('veracruzanos', 'n'), 1] 5.634305913580881
[('guervara', 'n'), 1] 5.634305913580881
[('sociólogo', 'n'), 1] 5.634305913580881
[('permaneciendo', 'n'), 1] 5.634305913580881
[('cimiento', 'n'), 1] 5.634305913580881
[('personalizadas', 'n'), 1] 5.634305913580881
[('citando', 'n'), 1] 5.634305913580881
[('adjunta', 'n'), 1] 5.634305913580881
[('traslado', 'n'), 1] 5.634305913580881
[('inscritas', 'n'), 1] 5.634305913580881
[('militancia', 'n'), 1] 5.634305913580881
[('comparado', 'n'), 1] 5.634305913580881
[('tabasqueño', 'n'), 1] 5.634305913580881
[('reparto', 'n'), 1] 5.634305913580881
[('estratégica', 'n'), 1] 5.634305913580881
[('requiriendo', 'n'), 1] 5.634305913580881
[('ilustrando', 'n'), 1] 5.634305913580881
[('documentados', 'n'), 1] 5.634305913580881
[('detención', 'n'), 1] 5.634305913580881
[('parteaguas', 'n'), 1] 5.634305913580881
[('cena', 'n'), 1] 5.634305913580881
[('cara', 'n'), 1] 5.634305913580881
[('instaladas', 'n'), 1] 5.634305913580881
[('seno', 'n'), 1] 5.634305913580881
[('requerimos', 'n'), 1] 5.634305913580881
[('incinerada', 'n'), 1] 5.634305913580881
[('derrama', 'n'), 1] 5.634305913580881
[('grabadora', 'n'), 1] 5.634305913580881
[('comparecencias', 'n'), 1] 5.634305913580881
[('piedra', 'n'), 1] 5.634305913580881
[('enojo', 'n'), 1] 5.634305913580881
[('mermada', 'n'), 1] 5.634305913580881
[('culto', 'n'), 1] 5.634305913580881
[('rotativa', 'n'), 1] 5.634305913580881
[('ataba', 'n'), 1] 5.634305913580881
[('veracruzana', 'n'), 1] 5.634305913580881
[('unaágina', 'n'), 1] 5.634305913580881
[('astucia', 'n'), 1] 5.634305913580881
[('crucificado', 'n'), 1] 5.634305913580881
[('ochoa', 'n'), 1] 5.634305913580881
[('calabozo', 'n'), 1] 5.634305913580881
[('aprovechamiento', 'n'), 1] 5.634305913580881
[('importadora', 'n'), 1] 5.634305913580881
[('aproximados', 'n'), 1] 5.634305913580881
[('vislumbra', 'n'), 1] 5.634305913580881
[('creímos', 'n'), 1] 5.634305913580881
[('individuillos', 'n'), 1] 5.634305913580881
[('destrozo', 'n'), 1] 5.634305913580881
[('zepeda', 'n'), 1] 5.634305913580881
[('convivía', 'n'), 1] 5.634305913580881
[('lapso', 'n'), 1] 5.634305913580881
[('tela', 'n'), 1] 5.634305913580881
[('redimensionamiento', 'n'), 1] 5.634305913580881
[('intercambio', 'n'), 1] 5.634305913580881
[('portaba', 'n'), 1] 5.634305913580881
[('diseminados', 'n'), 1] 5.634305913580881
[('exigencia', 'n'), 1] 5.634305913580881
[('costa', 'n'), 1] 5.634305913580881
[('reestructurado', 'n'), 1] 5.634305913580881
[('consejero', 'n'), 1] 5.634305913580881
[('contribuya', 'n'), 1] 5.634305913580881
[('beneficiario', 'n'), 1] 5.634305913580881
[('prisión', 'n'), 1] 5.634305913580881
[('otoño', 'n'), 1] 5.634305913580881
[('marcaba', 'n'), 1] 5.634305913580881
[('indio', 'n'), 1] 5.634305913580881
[('cristiano', 'n'), 1] 5.634305913580881
[('desacuerdo', 'n'), 1] 5.634305913580881
[('sabanilla', 'n'), 1] 5.634305913580881
[('seríainnsensato', 'n'), 1] 5.634305913580881
[('altar', 'n'), 1] 5.634305913580881
[('religioso', 'n'), 1] 5.634305913580881
[('arqueológico', 'n'), 1] 5.634305913580881
[('enriquecimiento', 'n'), 1] 5.634305913580881
[('revista', 'n'), 1] 5.634305913580881
[('butírica', 'n'), 1] 5.634305913580881
[('salía', 'n'), 1] 5.634305913580881
[('sala', 'n'), 1] 5.634305913580881
[('rasgo', 'n'), 1] 5.634305913580881
[('imprecisas', 'n'), 1] 5.634305913580881
[('opuesto', 'n'), 1] 5.634305913580881
[('ola', 'n'), 1] 5.634305913580881
[('agenda', 'n'), 1] 5.634305913580881
[('gana', 'n'), 1] 5.634305913580881
[('persecución', 'n'), 1] 5.634305913580881
[('mosaico', 'n'), 1] 5.634305913580881
[('corremos', 'n'), 1] 5.634305913580881
[('blemas', 'n'), 1] 5.634305913580881
[('estallado', 'n'), 1] 5.634305913580881
[('deprimidos', 'n'), 1] 5.634305913580881
[('necesitando', 'n'), 1] 5.634305913580881
[('rosalba', 'n'), 1] 5.634305913580881
[('distorsión', 'n'), 1] 5.634305913580881
[('coyuntura', 'n'), 1] 5.634305913580881
[('inestabilidad', 'n'), 1] 5.634305913580881
[('llegada', 'n'), 1] 5.634305913580881
[('suéltelo', 'n'), 1] 5.634305913580881
[('inflacionario', 'n'), 1] 5.634305913580881
[('cinematográfica', 'n'), 1] 5.634305913580881
[('corteza', 'n'), 1] 5.634305913580881
[('fernando', 'n'), 1] 5.634305913580881
[('antaño', 'n'), 1] 5.634305913580881
[('scannerteclado', 'n'), 1] 5.634305913580881
[('obligatoria', 'n'), 1] 5.634305913580881
[('tropa', 'n'), 1] 5.634305913580881
[('complejidad', 'n'), 1] 5.634305913580881
[('nociva', 'n'), 1] 5.634305913580881
[('arreola', 'n'), 1] 5.634305913580881
[('austria', 'n'), 1] 5.634305913580881
[('válida', 'n'), 1] 5.634305913580881
[('lenta', 'n'), 1] 5.634305913580881
[('nombrados', 'n'), 1] 5.634305913580881
[('australia', 'n'), 1] 5.634305913580881
[('cuestionamientos', 'n'), 1] 5.634305913580881
[('contienda', 'n'), 1] 5.634305913580881
[('representa', 'n'), 1] 5.634305913580881
[('autonomía', 'n'), 1] 5.634305913580881
[('negligencia', 'n'), 1] 5.634305913580881
[('localidad', 'n'), 1] 5.634305913580881
[('completado', 'n'), 1] 5.634305913580881
[('fracción', 'n'), 1] 5.634305913580881
[('piedad', 'n'), 1] 5.634305913580881
[('clérigo', 'n'), 1] 5.634305913580881
[('padecemos', 'n'), 1] 5.634305913580881
[('confusión', 'n'), 1] 5.634305913580881
[('económicofinancieros', 'n'), 1] 5.634305913580881
[('benévolo', 'n'), 1] 5.634305913580881
[('cuello', 'n'), 1] 5.634305913580881
[('esqueleto', 'n'), 1] 5.634305913580881
[('hecha', 'n'), 1] 5.634305913580881
[('ocaso', 'n'), 1] 5.634305913580881
[('agradezco', 'n'), 1] 5.634305913580881
[('cómplice', 'n'), 1] 5.634305913580881
[('pasada', 'n'), 1] 5.634305913580881
[('italiana', 'n'), 1] 5.634305913580881
[('comunicado', 'n'), 1] 5.634305913580881
[('ruego', 'n'), 1] 5.634305913580881
[('etelvina', 'n'), 1] 5.634305913580881
[('desconocimiento', 'n'), 1] 5.634305913580881
[('ladrón', 'n'), 1] 5.634305913580881
[('bienintencionado', 'n'), 1] 5.634305913580881
[('simpson', 'n'), 1] 5.634305913580881
[('aeroportuarias', 'n'), 1] 5.634305913580881
[('media', 'n'), 1] 5.634305913580881
[('huasteca', 'n'), 1] 5.634305913580881
[('gráficas', 'n'), 1] 5.634305913580881
[('rarotonga', 'n'), 1] 5.634305913580881
[('econométricos', 'n'), 1] 5.634305913580881
[('herrera', 'n'), 1] 5.634305913580881
[('martirio', 'n'), 1] 5.634305913580881
[('verónica', 'n'), 1] 5.634305913580881
[('procesadas', 'n'), 1] 5.634305913580881
[('querella', 'n'), 1] 5.634305913580881
[('utopía', 'n'), 1] 5.634305913580881
[('inflacionarias', 'n'), 1] 5.634305913580881
[('resignación', 'n'), 1] 5.634305913580881
[('lombardista', 'n'), 1] 5.634305913580881
[('transformando', 'n'), 1] 5.634305913580881
[('conseguirlos', 'n'), 1] 5.634305913580881
[('sed', 'n'), 1] 5.634305913580881
[('cráneo', 'n'), 1] 5.634305913580881
[('verdura', 'n'), 1] 5.634305913580881
[('públicas', 'n'), 1] 5.634305913580881
[('vergonzoso', 'n'), 1] 5.634305913580881
[('telenovelas', 'n'), 1] 5.634305913580881
[('taqueos', 'n'), 1] 5.634305913580881
[('sigua', 'n'), 1] 5.634305913580881
[('programados', 'n'), 1] 5.634305913580881
[('enseñanza', 'n'), 1] 5.634305913580881
[('preferencia', 'n'), 1] 5.634305913580881
[('centavo', 'n'), 1] 5.634305913580881
[('extranjero', 'n'), 1] 5.634305913580881
[('sucias', 'n'), 1] 5.634305913580881
[('sobrenadaba', 'n'), 1] 5.634305913580881
[('optamos', 'n'), 1] 5.634305913580881
[('recompensa', 'n'), 1] 5.634305913580881
[('lavamanos', 'n'), 1] 5.634305913580881
[('revisora', 'n'), 1] 5.634305913580881
[('ofensivos', 'n'), 1] 5.634305913580881
[('predecirla', 'n'), 1] 5.634305913580881
[('maldonado', 'n'), 1] 5.634305913580881
[('temor', 'n'), 1] 5.634305913580881
[('barca', 'n'), 1] 5.634305913580881
[('comprobadas', 'n'), 1] 5.634305913580881
[('moción', 'n'), 1] 5.634305913580881
[('cálculo', 'n'), 1] 5.634305913580881
[('pronóstico', 'n'), 1] 5.634305913580881
[('directivo', 'n'), 1] 5.634305913580881
[('comunicarla', 'n'), 1] 5.634305913580881
[('sotomayor', 'n'), 1] 5.634305913580881
[('jurando', 'n'), 1] 5.634305913580881
[('parmista', 'n'), 1] 5.634305913580881
[('terminemos', 'n'), 1] 5.634305913580881
[('japón', 'n'), 1] 5.634305913580881
[('experimento', 'n'), 1] 5.634305913580881
[('auténtico', 'n'), 1] 5.634305913580881
[('enlazada', 'n'), 1] 5.634305913580881
[('urbano', 'n'), 1] 5.634305913580881
[('sol', 'n'), 1] 5.634305913580881
[('gráfico', 'n'), 1] 5.634305913580881
[('escalada', 'n'), 1] 5.634305913580881
[('insólitos', 'n'), 1] 5.634305913580881
[('bodrios', 'n'), 1] 5.634305913580881
[('madrastra', 'n'), 1] 5.634305913580881
[('honda', 'n'), 1] 5.634305913580881
[('abarrotado', 'n'), 1] 5.634305913580881
[('iberoamericana', 'n'), 1] 5.634305913580881
[('allegada', 'n'), 1] 5.634305913580881
[('trilogía', 'n'), 1] 5.634305913580881
[('atacaría', 'n'), 1] 5.634305913580881
[('victimario', 'n'), 1] 5.634305913580881
[('misericordia', 'n'), 1] 5.634305913580881
[('contaminación', 'n'), 1] 5.634305913580881
[('orinda', 'n'), 1] 5.634305913580881
[('evangelina', 'n'), 1] 5.634305913580881
[('gagia', 'n'), 1] 5.634305913580881
[('pecuarios', 'n'), 1] 5.634305913580881
[('contradicción', 'n'), 1] 5.634305913580881
[('impulsados', 'n'), 1] 5.634305913580881
[('corro', 'n'), 1] 5.634305913580881
[('quemadura', 'n'), 1] 5.634305913580881
[('florentino', 'n'), 1] 5.634305913580881
[('zacatecas', 'n'), 1] 5.634305913580881
[('procediera', 'n'), 1] 5.634305913580881
[('antecesor', 'n'), 1] 5.634305913580881
[('hundirnos', 'n'), 1] 5.634305913580881
[('cuesta', 'n'), 1] 5.634305913580881
[('sesgo', 'n'), 1] 5.634305913580881
[('habitadas', 'n'), 1] 5.634305913580881
[('desierto', 'n'), 1] 5.634305913580881
[('fiscal', 'n'), 1] 5.634305913580881
[('molestia', 'n'), 1] 5.634305913580881
[('enterraba', 'n'), 1] 5.634305913580881
[('manejador', 'n'), 1] 5.634305913580881
[('luz', 'n'), 1] 5.634305913580881
[('truena', 'n'), 1] 5.634305913580881
[('encamado', 'n'), 1] 5.634305913580881
[('triunfo', 'n'), 1] 5.634305913580881
[('enfriamiento', 'n'), 1] 5.634305913580881
[('cardiaca', 'n'), 1] 5.634305913580881
[('salvaguarda', 'n'), 1] 5.634305913580881
[('susto', 'n'), 1] 5.634305913580881
[('insolvencias', 'n'), 1] 5.634305913580881
[('piel', 'n'), 1] 5.634305913580881
[('wwwteesacomusuario', 'n'), 1] 5.634305913580881
[('fomenta', 'n'), 1] 5.634305913580881
[('ésto', 'n'), 1] 5.634305913580881
[('pensemos', 'n'), 1] 5.634305913580881
[('líquida', 'n'), 1] 5.634305913580881
[('dirijo', 'n'), 1] 5.634305913580881
[('angustioso', 'n'), 1] 5.634305913580881
[('gastártelo', 'n'), 1] 5.634305913580881
[('asistencia', 'n'), 1] 5.634305913580881
[('azteca', 'n'), 1] 5.634305913580881
[('caótica', 'n'), 1] 5.634305913580881
[('aporreado', 'n'), 1] 5.634305913580881
[('ganadero', 'n'), 1] 5.634305913580881
[('labastida', 'n'), 1] 5.634305913580881
[('confrontado', 'n'), 1] 5.634305913580881
[('originando', 'n'), 1] 5.634305913580881
[('bancario', 'n'), 1] 5.634305913580881
[('evangelio', 'n'), 1] 5.634305913580881
[('renuevo', 'n'), 1] 5.634305913580881
[('petróleo', 'n'), 1] 5.634305913580881
[('desafío', 'n'), 1] 5.634305913580881
[('demográfico', 'n'), 1] 5.634305913580881
[('rectificaciones', 'n'), 1] 5.634305913580881
[('aprovechada', 'n'), 1] 5.634305913580881
[('alimenticios', 'n'), 1] 5.634305913580881
[('ecológico', 'n'), 1] 5.634305913580881
[('paciencia', 'n'), 1] 5.634305913580881
[('óptima', 'n'), 1] 5.634305913580881
[('extraditado', 'n'), 1] 5.634305913580881
[('noticiosos', 'n'), 1] 5.634305913580881
[('presbítero', 'n'), 1] 5.634305913580881
[('pacificación', 'n'), 1] 5.634305913580881
[('culpa', 'n'), 1] 5.634305913580881
[('comprometidas', 'n'), 1] 5.634305913580881
[('prevenido', 'n'), 1] 5.634305913580881
[('admirarla', 'n'), 1] 5.634305913580881
[('salomónico', 'n'), 1] 5.634305913580881
[('antuna', 'n'), 1] 5.634305913580881
[('subsistencia', 'n'), 1] 5.634305913580881
[('postergada', 'n'), 1] 5.634305913580881
[('bonhomía', 'n'), 1] 5.634305913580881
[('curva', 'n'), 1] 5.634305913580881
[('diablo', 'n'), 1] 5.634305913580881
[('febrero', 'n'), 1] 5.634305913580881
[('custodios', 'n'), 1] 5.634305913580881
[('castigados', 'n'), 1] 5.634305913580881
[('constantino', 'n'), 1] 5.634305913580881
[('entregarnos', 'n'), 1] 5.634305913580881
[('depositadas', 'n'), 1] 5.634305913580881
[('encerrados', 'n'), 1] 5.634305913580881
[('exasperado', 'n'), 1] 5.634305913580881
[('quincena', 'n'), 1] 5.634305913580881
[('jerarquía', 'n'), 1] 5.634305913580881
[('calumnia', 'n'), 1] 5.634305913580881
[('telefónicos', 'n'), 1] 5.634305913580881
[('oponiendo', 'n'), 1] 5.634305913580881
[('sinnúmero', 'n'), 1] 5.634305913580881
[('insurrección', 'n'), 1] 5.634305913580881
[('raíz', 'n'), 1] 5.634305913580881
[('domínguez', 'n'), 1] 5.634305913580881
[('cardenismo', 'n'), 1] 5.634305913580881
[('autónoma', 'n'), 1] 5.634305913580881
[('gravedad', 'n'), 1] 5.634305913580881
[('tormento', 'n'), 1] 5.634305913580881
[('oreja', 'n'), 1] 5.634305913580881
[('oro', 'n'), 1] 5.634305913580881
[('pesquero', 'n'), 1] 5.634305913580881
[('pasa', 'n'), 1] 5.634305913580881
[('burladas', 'n'), 1] 5.634305913580881
[('paraíso', 'n'), 1] 5.634305913580881
[('excelencia', 'n'), 1] 5.634305913580881
[('haga', 'n'), 1] 5.634305913580881
[('inclina', 'n'), 1] 5.634305913580881
[('desfile', 'n'), 1] 5.634305913580881
[('pródigo', 'n'), 1] 5.634305913580881
[('arena', 'n'), 1] 5.634305913580881
[('dogma', 'n'), 1] 5.634305913580881
[('milenio', 'n'), 1] 5.634305913580881
[('drástica', 'n'), 1] 5.634305913580881
[('bancarrota', 'n'), 1] 5.634305913580881
[('especificas', 'n'), 1] 5.634305913580881
[('modernista', 'n'), 1] 5.634305913580881
[('sometimientos', 'n'), 1] 5.634305913580881
[('panga', 'n'), 1] 5.634305913580881
[('socorrido', 'n'), 1] 5.634305913580881
[('fresca', 'n'), 1] 5.634305913580881
[('escolarización', 'n'), 1] 5.634305913580881
[('sumo', 'n'), 1] 5.634305913580881
[('explosivo', 'n'), 1] 5.634305913580881
[('testigo', 'n'), 1] 5.634305913580881
[('angloamericanos', 'n'), 1] 5.634305913580881
[('amarra', 'n'), 1] 5.634305913580881
[('onufrienko', 'n'), 1] 5.634305913580881
[('agraristas', 'n'), 1] 5.634305913580881
[('catorcena', 'n'), 1] 5.634305913580881
[('agobiados', 'n'), 1] 5.634305913580881
[('requerido', 'n'), 1] 5.634305913580881
[('voluntario', 'n'), 1] 5.634305913580881
[('bloquea', 'n'), 1] 5.634305913580881
[('inflacionaria', 'n'), 1] 5.634305913580881
[('gro', 'n'), 1] 5.634305913580881
[('monarca', 'n'), 1] 5.634305913580881
[('párpado', 'n'), 1] 5.634305913580881
[('profesor', 'n'), 1] 5.634305913580881
[('leyendo', 'n'), 1] 5.634305913580881
[('bolita', 'n'), 1] 5.634305913580881
[('apresado', 'n'), 1] 5.634305913580881
[('recría', 'n'), 1] 5.634305913580881
[('cooperativa', 'n'), 1] 5.634305913580881
[('aparición', 'n'), 1] 5.634305913580881
[('distanciamiento', 'n'), 1] 5.634305913580881
[('perpetua', 'n'), 1] 5.634305913580881
[('trayectoria', 'n'), 1] 5.634305913580881
[('remuneración', 'n'), 1] 5.634305913580881
[('millonaria', 'n'), 1] 5.634305913580881
[('colegiado', 'n'), 1] 5.634305913580881
[('contacto', 'n'), 1] 5.634305913580881
[('retrasado', 'n'), 1] 5.634305913580881
[('romeo', 'n'), 1] 5.634305913580881
[('calado', 'n'), 1] 5.634305913580881
[('flaco', 'n'), 1] 5.634305913580881
[('prigobierno', 'n'), 1] 5.634305913580881
